"","Ctrl_1.CEL","Ctrl_2.CEL","Ctrl_3.CEL","Dom_1.CEL","Dom_2.CEL","Dom_3.CEL","N_D_3.CEL","N_D_4.CEL","N_D_5.CEL","NEN_2.CEL","NEN_3.CEL","NEN_5.CEL"
"HTA2-pos-3670246_st",12.2129899871434,12.0081481379593,12.0902996270874,12.0100207017979,11.8640245454697,11.8843291898786,11.9845041804581,11.9713546207997,12.1789031538641,12.2054989953676,12.0958966612464,12.0799038678708
"HTA2-pos-3670248_st",11.2378567231928,11.1950127352471,11.2372094284072,11.1407759568048,11.0016421331124,11.264735278843,10.9063262631826,10.8672780517613,11.1716453842483,11.371095482092,11.2682977931628,11.3001613567646
"HTA2-pos-3670250_st",10.4697256931507,10.8085613134325,10.6550826482444,10.6680346920763,10.9112976846745,11.0610892708619,10.7383026591915,10.9792459078928,10.978888539628,11.0230028585133,11.0117507729229,10.9971200327099
"HTA2-pos-3670252_st",11.2099604389979,11.1883307214942,11.0933069266168,11.1076251771187,11.1296044375807,11.3464208982814,11.0426277698966,11.3428612535629,11.3327820144974,11.3960690807985,11.2886252834806,11.3567724102311
"HTA2-pos-3670254_st",11.9402061884423,5.30982286506934,12.0646273965443,12.120728981339,11.8933580666444,12.0142323300579,12.0852536029746,12.0490413159353,12.1000213792546,12.2395050281549,12.2715430198758,12.1942589742213
"HTA2-pos-3670258_st",9.22319512197165,9.59276680204959,9.3810001821596,9.50894841912682,5.5365433304507,9.89304731891633,9.40655745180618,9.69261394871815,9.80601106984926,9.82787052540075,10.2175022979292,10.1027400607881
"HTA2-pos-3670260_st",11.6656649135348,11.6993840880913,11.6240334507235,11.7503716488848,11.8670144890169,11.7301477439198,11.7746906264557,11.7544383088279,11.9088457159589,11.8269221334532,11.7494431102987,11.8269552259849
"HTA2-pos-3670262_st",8.46556276948004,9.06631107544524,9.19516492654427,9.04689419690026,9.05877856437154,8.92134242980131,9.24059047574424,9.12109945876287,9.02467550634591,9.52584528289726,9.20762229471593,9.0313541402817
"HTA2-pos-3670264_st",8.68999485982454,8.87855914219197,8.32605090264345,8.41186025409963,7.88975202729631,8.71852982541363,8.67448340033416,8.61501322930384,8.77998995433643,8.51700966225117,8.80694945890884,8.9412895789251
"HTA2-pos-3671544_st",5.24109507598354,5.45581076704104,5.22936807561017,4.70660528316662,5.49361248941549,5.62558087912062,5.61525791263234,5.86537094350016,6.23054577570363,5.96419077801947,6.90463606108244,6.41554733611542
"HTA2-pos-3671548_st",5.55075924111157,5.88669932184191,6.12214414180769,5.20065532433017,4.56443434894011,5.41450149510165,5.77894764720159,6.2516350382945,5.50214034975402,6.47351825373717,6.80176119408406,6.6993593520095
"HTA2-pos-3671550_st",6.26909296243583,7.29763473245429,6.79039291344962,6.68584155546131,6.89822328165052,6.80324068683811,7.15245765806507,7.36597983988413,7.478028264851,7.26124241920586,7.40346804437263,7.52617636723012
"HTA2-pos-3671552_st",7.20048123027342,7.43808003745678,7.21187962614014,7.16368683445897,6.74839603446464,7.23982885594425,7.90035830969954,8.26603457433239,8.20445824267772,7.53017942598514,7.90337440922474,8.0568331688892
"HTA2-pos-3671554_st",7.76543614448918,7.88616946067514,7.90232344635734,7.57839796957144,7.4419665399322,7.63496956314266,7.59924869760021,8.35194743975544,8.29427972641605,8.44090113474892,8.38430611727011,8.25763197192481
"HTA2-pos-3671558_st",6.65793439722533,6.08638500679138,6.18326032916374,5.39331112401658,6.56750245405976,5.45093539338153,6.71480686359654,6.75897874133335,6.84507181687346,6.15014716916738,6.25795756407304,6.01152455992815
"HTA2-pos-3672397_st",8.19688898865804,8.41538591276895,8.52377519263372,8.29700101483823,8.31020267764412,7.98188703451875,8.07011616274868,8.27973775269221,8.24690336327499,8.24683746716656,8.25884660877474,8.50896023617275
"HTA2-pos-3672399_st",9.78993967672421,9.93424241604644,10.0732356598734,9.91488205512458,9.83880858239113,9.76844945916693,9.80971685489243,9.82826732479487,9.74269740899457,9.90073970021203,9.82084293965431,10.1027400607881
"HTA2-pos-3672401_st",5.15646845513858,6.63902627956673,6.44292872465462,6.88263215875032,6.01307010117715,5.96383881874194,5.59243040308837,6.64023205308403,6.09097567996086,6.83603910698526,6.39230212403921,6.98867456793897
"HTA2-pos-3672403_st",11.1038882222591,10.9896008308673,11.1538944733842,10.9365759429389,11.0353712803013,10.8105039774342,10.8684360684617,10.8381198707728,10.9241932704459,10.9283943400334,10.9587333014514,11.208233815192
"HTA2-pos-3672405_st",9.67065467232333,9.70433443077118,9.61532246193966,9.73456699618788,9.57056559880058,9.92295466809916,9.7713504357144,9.79950610150443,9.91390102453511,9.764561886034,10.1314271430816,10.1709533829501
"HTA2-pos-3672407_st",5.65341670684207,6.18485767836978,6.55367372369777,6.1616921538701,5.8463517185913,6.26999833454906,5.92625319391124,6.20128450374928,5.88046014757013,5.84109005448549,6.40796070185429,6.53560670953188
"HTA2-pos-3672409_st",8.66740410650297,9.07193833940904,8.96010601552734,9.31638435631542,8.89228711871624,9.03410869480732,9.25207193523038,8.85044453835432,9.14355159146786,9.16774354257032,9.34121809914318,9.27922157565808
"HTA2-pos-3672411_st",9.24257656796847,9.37829292490037,9.63783078906575,9.21229155030095,9.19885207183507,9.43965591343774,9.50647111875356,9.57348771716551,9.39213659347921,9.94410066005156,9.40655745180618,9.40965422357167
"HTA2-pos-3672413_st",4.16490923723157,4.5706634667183,4.35763753062202,4.51588442050666,4.84494378460448,4.46242364217612,5.17979385517438,5.13469077590717,5.33784618523239,5.27259535247726,5.81589412317992,4.6195669329089
"HTA2-pos-3676035_st",8.78053684515562,8.50878163402366,8.84313311287824,8.23581053778971,8.32530144857653,8.04961684261572,8.01494537333638,8.42521216485873,8.53980158210845,7.60794013099961,8.19393158682075,8.02974242595975
"HTA2-pos-3676039_st",10.9579871165421,10.9652268222117,10.9394215154268,11.1618802179891,11.0444628560138,11.0484857453488,10.9008904247587,11.1162252514082,11.0953299816022,10.9435430481569,10.8877707708836,10.8488963207117
"HTA2-pos-3676041_st",10.4972634696667,10.3959992120418,10.382022314002,10.5957665011573,10.5761443201613,10.5581655495942,10.4232560026274,10.5429119623736,10.4889936316691,10.4057138133462,10.2518520310319,10.3771012070757
"HTA2-pos-3676043_st",10.2915534205079,10.3925848002868,10.2300193656908,10.4267006175221,10.5629570198298,10.4257394900467,10.6282928256361,10.3515364351815,10.329141288837,10.2008464397957,10.517094336848,10.2998270718427
"HTA2-pos-3676052_st",11.1315286062283,11.2568430185624,11.322772106899,11.2412183023493,11.2281091163556,11.1016183747496,11.2513246834939,11.2570059654378,11.2130608927037,11.2269394167764,11.1936641082184,11.152821707541
"HTA2-pos-3676054_st",11.0062085558673,11.3297491308928,11.1587143056313,11.110156437598,11.2145715557207,11.2888655605417,11.1117599915755,11.2760754086059,11.0649385969143,11.0916551740079,11.2474078297039,11.2755420376972
