"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBgn0015576",177.470940056673,0.832821167229493,0.214398743099838,3.88444985818632,0.000102561855654434,0.00696716762578016
"FBgn0035266",384.776412836179,-0.963250043953297,0.248508610594988,-3.87612341337811,0.000106133867271184,0.00713982103225276
"FBgn0033913",5222.2725199631,0.923087999618393,0.238521878925574,3.87003491577569,0.00010881976707971,0.00725011698168565
"FBgn0038293",3312.23563319919,-0.553857517512287,0.143201259845082,-3.86768606722778,0.000109872986528043,0.00725057070145531
"FBgn0039467",5459.90602286837,0.425858189523381,0.110270700423176,3.86193420273113,0.000112492866516611,0.00735342520843014
"FBgn0010470",4794.61056353617,-0.481969555371657,0.125078778496471,-3.85332796790349,0.000116523142640846,0.0075456902369946
"FBgn0003076",1503.91030894353,-0.636018766152733,0.165970318751243,-3.83212354436699,0.00012704190984908,0.00815067956800253
"FBgn0015371",377.549732575752,0.879753460702075,0.23006820185052,3.82388115187543,0.000131367256291075,0.00835085980587944
"FBgn0038805",752.082843922964,-0.69055668495427,0.180753706332759,-3.82042890829021,0.000133219801498753,0.00839163640531692
"FBgn0044047",274.534323574842,0.812725756801708,0.213261775891836,3.81093026822544,0.000138444819155754,0.00864219956693889
"FBgn0033926",6337.25195335636,-0.525885181690224,0.138311678610227,-3.8021748197577,0.000143431457812664,0.00887354081414241
"FBgn0035189",216.70484770247,-2.71252551864824,0.7145272495399,-3.79625202593028,0.000146900159996997,0.00900770981078929
"FBgn0031547",265.528306684267,1.03869851124692,0.276264072448633,3.75980308275536,0.000170047153191042,0.0103355853022871
"FBgn0002543",912.929377715314,-0.873796956229165,0.234326856609038,-3.72896632026712,0.000192266844678904,0.0115844953633054
"FBgn0261284",51.2529815947791,-1.96500905230639,0.527278315204038,-3.72670181125504,0.000194001747211681,0.0115882595381874
"FBgn0013272",14060.7596607538,0.446891576473349,0.120080756996132,3.72159193240049,0.000197970765026856,0.0117242686399238
"FBgn0043364",1198.06624096172,1.09527093068538,0.29462453904709,3.71751427843669,0.000201192619060291,0.0118140987921081
"FBgn0051642",111.057941949562,-1.65613214964026,0.446075870026825,-3.71266921373862,0.000205084854695135,0.0119414534301058
"FBgn0032859",3438.35413523593,0.47496350444514,0.128007849886491,3.71042482837035,0.000206911731178153,0.0119474282111118
"FBgn0039257",523.025596995356,0.866091496146551,0.233567176295629,3.70810449431613,0.000208816490744556,0.0119577641683391
"FBgn0039419",1567.62105297615,0.915884047755733,0.247402859544999,3.70199459068559,0.000213911179963542,0.0121491029997326
"FBgn0027949",1453.20563300199,-0.577313959858588,0.156128283415037,-3.69768979220702,0.000217570538719556,0.0122564736812016
"FBgn0052133",1965.08906607026,0.412076322077366,0.111628050914084,3.69151229196439,0.00022292462097692,0.0124568120866861
"FBgn0086906",1132.46013166421,-0.686741808463502,0.186330348492184,-3.68561436191544,0.000228151602361907,0.0126468996221252
"FBgn0027515",448.094850668835,-0.804143353924422,0.218741467050704,-3.6762273050771,0.000236708628513168,0.0130170959283154
"FBgn0024891",1504.38171448317,-0.418781188101377,0.113983602478582,-3.67404766119816,0.000238738170503837,0.0130253290033156
"FBgn0053558",2929.02463617437,-0.493674127347391,0.134501920527898,-3.67038719900653,0.000242183328931157,0.0131100647356562
"FBgn0014033",6505.92636490772,0.516932220470209,0.140994765238396,3.66632207654074,0.000246063982164866,0.0131707904711261
"FBgn0032105",574.346612078102,-0.528001628007118,0.144133631526568,-3.66327846190285,0.000249007584314838,0.0131707904711261
"FBgn0086355",4151.28869540974,-0.653416547952269,0.17836018681324,-3.6634663801763,0.000248824888537672,0.0131707904711261
"FBgn0004512",503.708008660778,-0.503099953181871,0.137663502723919,-3.65456307029196,0.00025762032996878,0.0135224751209577
"FBgn0085388",1951.44085794404,-0.489897287191423,0.134127472902189,-3.65247533999746,0.000259724544745967,0.0135224751209577
"FBgn0250876",305.612073663003,-0.585065398549728,0.160260495887457,-3.65071501438877,0.000261511281022995,0.0135224751209577
"FBgn0025111",1508.81912027019,-2.55514282944914,0.701492762608718,-3.64243648066596,0.000270069632331667,0.0138615739438972
"FBgn0000579",8775.75905492581,-0.458769295371433,0.12610411683021,-3.63801997034825,0.000274742126348233,0.0139977073049037
"FBgn0011674",111.941425278987,-0.903487528073171,0.250137344626787,-3.61196577592684,0.000303884678562585,0.0153694666989792
"FBgn0001091",4337.37872145955,-0.643180138671144,0.178594967277397,-3.60133406039458,0.00031658846671279,0.0157206513203864
"FBgn0005585",21221.7717924778,-0.337908238474276,0.0938710745394198,-3.59970566153876,0.000318577583766301,0.0157206513203864
"FBgn0028397",355.056713491008,0.771284594080323,0.214546074951133,3.59496017000544,0.000324441209238743,0.0157206513203864
"FBgn0028491",169.574152187838,-0.76726140200482,0.21336828810946,-3.59594862387051,0.000323211589528941,0.0157206513203864
"FBgn0031245",193.800612419282,-0.710479871771145,0.19757681633889,-3.5959678110842,0.000323187764175619,0.0157206513203864
"FBgn0034753",7799.23456312158,-0.487531107044715,0.135544626201384,-3.5968309530794,0.000322117672873015,0.0157206513203864
"FBgn0028433",92.8844612572976,1.15104626134734,0.320828973635542,3.58772541115602,0.000333575315814084,0.0160509955783041
"FBgn0025693",856.720233899429,0.439826126420198,0.122888965773713,3.57905303906692,0.000344841483370004,0.0163657988922655
"FBgn0034389",111.029549946651,1.56032574228204,0.435858747003771,3.5798885602462,0.000343740769342535,0.0163657988922655
"FBgn0000299",51026.1605640149,-0.547632669411769,0.153204444363979,-3.57452208181845,0.000350868201577609,0.0165385426444303
"FBgn0003502",1207.58088087604,-0.642201983127292,0.179826966566383,-3.57122179943031,0.000355319831708843,0.0166352102291255
"FBgn0030090",158.593641379806,0.763435317644541,0.214455280607359,3.55988118120671,0.000371022627802838,0.017025270119509
"FBgn0034793",524.295154709929,-0.608820396564128,0.170975700260883,-3.56085920768367,0.000369643256394482,0.017025270119509
"FBgn0046763",2208.21616123051,0.556780334696121,0.156394133751604,3.56011009709891,0.000370699342853773,0.017025270119509
"FBgn0034391",65.432123585131,-1.38693571789492,0.390524054855456,-3.55147320799039,0.000383080991632514,0.0174629486251427
"FBgn0051361",1349.93556124529,-0.626083807539943,0.17647459928799,-3.5477276053662,0.000388569857770151,0.0175973891796691
